№;Страна;Население;Дата;% от населения Земли
1; КНР;1 364 358 000;25 марта 2014;19,25%
2; Индия;1 250 938 000;25 марта 2014;17,60%
3; США;317 321 000;25 марта 2014;4,46%
4; Индонезия;249 866 000;1 июля 2013;3,46%
5; Бразилия;201 017 395;25 марта 2014;2,94%
6; Пакистан;185 999 527;25 марта 2014;2,62%
7; Нигерия;173 615 000;1 июля 2013;2,44%
8; Бангладеш;163 654 860;16 июля 2012;2,15%
9; Россия;143 657 134;1 января 2014;2,02%
10; Япония;127 336 000;1 август 2013;1,79%
11; Мексика;118 395 054;1 июля 2013;1,67%
12; Филиппины;98 752 435;1 декабря 2013;1,39%
13; Вьетнам;89 708 900;1 июля 2013;1,26%
14; Эфиопия;86 613 986;1 июля 2013;1,22%
15; Египет;84 912 000;25 марта 2014;1,19%
16; Германия;80 523 746;1 января 2013;1,13%
17; Иран;77 030 436;1 декабря 2013;1,08%
18; Турция;75 627 384;1 января 2013;1,06%
19; ДР Конго;67 514 000;1 июля 2013;0,95%
20; Таиланд;65 479 453;1 сентября 2010;0,92%
21; Франция;63 928 608;1 января 2014;0,90%
22; Великобритания;63 887 988;1 января 2013;0,90%
23; Италия;59 685 227;1 января 2013;0,84%
24; Мьянма;53 259 000;1 июля 2013;0,75%
25; ЮАР;50 586 757;27 июля 2011;0,71%
26; Республика Корея;50 004 441;1 июля 2012;0,70%
27; Танзания;49 253 000;1 июля 2013;0,69%
28; Колумбия;47 490 000;25 марта 2014;0,67%
29; Испания;46 006 414;1 января 2013;0,65%
30; Украина;45 410 071;1 февраля 2014;0,64%
31; Кения;44 354 000;1 июля 2013;0,62%
32; Аргентина;41 281 631;1 января 2012;0,58%
33; Алжир;39 208 000;1 июля 2013;0,55%
34; Польша;38 533 299;1 января 2013;0,54%
35; Судан;37 964 000;1 июля 2013;0,53%
36; Уганда;37 579 000;1 июля 2013;0,53%
37; Канада;33 981 000;25 марта 2014;0,48%
38; Ирак;33 765 000;1 июля 2013;0,47%
39; Марокко;33 184 000;25 марта 2014;0,47%
40; Афганистан;30 552 000;1 июля 2013;0,43%
41; Перу;30 475 144;30 июня 2013;0,43%
42; Узбекистан;30 183 400;1 июля 2013;0,42%
43; Венесуэла;30 026 000;25 марта 2014;0,42%
44; Малайзия;29 577 175;26 января 2013;0,42%
45; Саудовская Аравия;28 829 000;1 июля 2013;0,41%
46; Непал;27 797 000;1 июля 2013;0,39%
47; Гана;25 905 000;1 июля 2013;0,36%
48; КНДР;24 895 000;1 июля 2013;0,35%
49; Йемен;24 407 000;1 июля 2013;0,34%
50; Австралия;23 965 000;25 марта 2014;0,34%
51; Мозамбик;23 700 715;2012;0,33%
52; Китайская Республика;23 367 320;1 ноября 2013;0,33%
53; Мадагаскар;22 925 000;1 июля 2013;0,32%
54; Камерун;22 254 000;1 июля 2013;0,31%
55; Сирия;21 898 000;1 июля 2013;0,31%
56; Ангола;21 472 000;1 июля 2013;0,30%
57; Румыния;21 305 097;1 января 2013;0,30%
58; Шри-Ланка;21 273 000;1 июля 2013;0,30%
59; Кот-д'Ивуар;20 316 000;1 июля 2013;0,29%
60; Нигер;17 831 000;1 июля 2013;0,25%
61; Чили;17 712 000;25 марта 2014;0,25%
62; Казахстан;17 186 000;1 февраля 2014;0,24%
63; Буркина-Фасо;16 935 000;1 июля 2013;0,24%
64; Нидерланды;16 857 550;25 марта 2014;0,24%
65; Малави;16 363 000;1 июля 2013;0,23%
66; Гватемала;15 468 000;1 июля 2013;0,22%
67; Камбоджа;15 135 000;1 июля 2013;0,21%
68; Эквадор;14 948 000;25 марта 2014;0,21%
